canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,pKi
CC(=O)O.N=C(N)c1ccc(CNC[C@H]2CN(c3ccc(N4CCC(C(=O)O)CC4)cc3)C(=O)O2)cc1,CHEMBL2391198,=,=,nM,54100.0,uM,54.1,4.266802734893431
CN(C)CCN(C)Cc1csc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cc2)c1Cl,CHEMBL390690,=,=,nM,0.45,nM,0.45,9.346787486224656
COC(=O)OC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)NCc1ccc(C(=N)N)cc1,CHEMBL159162,=,=,nM,340.0,uM,0.34,6.468521082957745
Cc1cn(-c2cccc(Oc3cc(C(=O)O)cc(Oc4cc(C(=N)N)ccc4O)n3)c2)cn1,CHEMBL79828,=,=,nM,13.0,nM,13.0,7.886056647693163
NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(c3cccs3)=NO2)cc1,CHEMBL50406,=,=,nM,1300.0,uM,1.3,5.886056647693163
N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)C2)c1,CHEMBL159418,=,=,nM,1.6,nM,1.6,8.795880017344075
Cc1c(F)c(Oc2cccc(C(=N)N)c2)nc(N2CCN(C3CCCCC3)CC2)c1F,CHEMBL56410,=,=,nM,495.0,nM,495.0,6.305394801066432
N=C(N)c1cccc(N2CCCCN(C3CCN(S(=O)(=O)c4ccccc4N)CC3)C2=O)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,CHEMBL1160791,=,=,nM,34.0,nM,34.0,7.468521082957745
N=C(N)c1ccc2scc(C(Cc3ccccc3)C(=O)Nc3ccc(Oc4ccccc4)cc3)c2c1.O=C(O)C(F)(F)F,CHEMBL367575,=,=,nM,450.0,uM,0.45,6.346787486224656
CS(=O)(=O)c1ccccc1-c1ccc(CCNS(=O)(=O)c2cc(C(=N)N)ccc2O)c(OCC(=O)O)c1,CHEMBL455932,=,=,nM,5.0,nM,5.0,8.301029995663981
COC(=O)CC1(C(=O)Nc2ccc(-c3ccccc3C(=O)OC)cc2)CC(c2cccc(C(=N)N)c2)=NO1.O=C(O)C(F)(F)F,CHEMBL329568,=,=,nM,53.0,nM,53.0,7.275724130399211
N=C(N)c1cccc(N2CCCCN(C3CCN(Cc4cccnc4)CC3)C2=O)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,CHEMBL1160794,=,=,nM,670.0,nM,670.0,6.173925197299173
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(C4(CC(N)=O)CC4)cc2)CC3)cc1.O=C(O)C(F)(F)F,CHEMBL464756,=,=,nM,0.36,nM,0.36,9.443697499232712
COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)S(C)(=O)=O)c1Cl,CHEMBL227307,=,=,nM,0.045,nM,0.045,10.346787486224656
